NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1279	擁			
1280	擂			
1281	擇			
1282	擊			
1283	擋			
1284	操			
1285	擒			
1286	擔			
1287	據			
1288	擠			
1289	擦			
1290	擴			
1291	擺			
1292	擾			
1293	攀			
1294	攆			
1295	攏			
1296	攔			
1297	攘			
1298	攙			
1299	攤			
1300	攪			
1301	攬			
1302	支			
1303	攷			
1304	攻			
1305	政			
1306	效			
1307	啟			
1308	敏			
1309	敗			
1310	敘			
1311	教			
1312	敝			
1313	散			
1314	敦			
1315	敬			
1316	整			
1317	敵			
1318	敷			
1319	數			
1320	斃			
1321	文			
1322	料			
1323	斟			
1324	斬			
1325	斯			
1326	斷			
1327	施			
1328	旅			
1329	旋			
1330	既			
1331	旦			
1332	旨			
1333	旬			
1334	旺			
1335	昂			
1336	昆			
1337	昌			
1338	昏			
1339	春			
1340	昧			
1341	昭			
1342	時			
1343	晃			
1344	晏			
1345	晝			
1346	普			
1347	景			
1348	晴			
1349	晶			
1350	智			
1351	暑			
1352	暈			
1353	暖			
1354	暢			
1355	暫			
1356	暮			
1357	暴			
1358	曆			
1359	曉			
1360	曲			
1361	更			
1362	書			
1363	曹			
1364	曾			
1365	替			
1366	會			
1367	服			
1368	期			
1369	未			
1370	末			
1371	札			
1372	朱			
1373	朽			
1374	杏			
1375	杖			
1376	杜			
1377	杭			
1378	析			
1379	枚			
1380	柏			
1381	某			
1382	柑			
1383	染			
1384	柔			
1385	柚			
1386	查			
1387	柬			
1388	柰			
1389	柳			
1390	栗			
1391	校			
1392	株			
1393	核			
1394	格			
1395	桂			
1396	桅			
1397	案			
1398	桐			
1399	桑			
1400	桿			
1401	梁			
1402	梅			
1403	條			
1404	梧			
1405	梭			
1406	械			
1407	棄			
1408	棋			
1409	棒			
1410	棕			
1411	棗			
1412	棚			
1413	棧			
1414	森			
1415	植			
1416	椽			
1417	楊			
1418	楚			
1419	楦			
1420	業			
1421	概			
1422	榆			
1423	榜			
1424	榨			
1425	榮			
1426	榴			
1427	構			
1428	槌			
1429	槍			
1430	槐			
1431	槓			
1432	槽			
1433	樁			
1434	樂			
1435	樓			
1436	標			
1437	樟			
1438	模			
1439	樣			
1440	樵			
1441	橋			
1442	橙			
1443	機			
1444	橡			
1445	橫			
1446	檀			
1447	檢			
1448	櫃			
1449	櫓			
1450	櫻			
1451	欄			
1452	權			
1453	次			
1454	欣			
1455	欲			
1456	欺			
1457	款			
1458	歇			
1459	歎			
1460	歐			
1461	歛			
1462	歡			
1463	止			
1464	此			
1465	步			
1466	武			
1467	歪			
1468	歲			
1469	歷			
1470	歸			
1471	歹			
1472	殃			
1473	殊			
1474	殘			
1475	殯			
1476	殲			
1477	段			
1478	殷			
1479	殼			
1480	殿			
1481	毀			
1482	毫			
1483	毯			
1484	氈			
1485	民			
1486	永			
1487	求			
1488	江			
1489	汪			
1490	決			
1491	汽			
1492	沈			
1493	沒			
1494	沫			
1495	治			
1496	沾			
1497	況			
1498	泄			
1499	泉			
1500	法			
1501	波			
1502	注			
1503	泰			
1504	洋			
1505	洒			
1506	洛			
1507	津			
1508	洪			
1509	洲			
1510	派			
1511	浙			
1512	浪			
1513	消			
1514	涉			
1515	涼			
1516	淆			
1517	淋			
1518	淒			
1519	淚			
1520	淨			
1521	淮			
1522	混			
1523	淹			
1524	淺			
1525	添			
1526	減			
1527	渠			
1528	渡			
1529	渣			
1530	測			
1531	港			
1532	渾			
1533	湊			
1534	湖			
1535	湯			
1536	滋			
1537	源			
1538	準			
1539	溜			
1540	溝			
1541	溪			
1542	溫			
1543	滅			
1544	滑			
1545	滔			
1546	滲			
1547	滴			
1548	滷			
1549	滾			
1550	滿			
1551	漂			
1552	漆			
1553	演			
1554	漚			
1555	漢			
1556	漫			
1557	漱			
1558	漲			
1559	漸			
1560	漿			
1561	潑			
1562	潔			
1563	潘			
1564	潤			
1565	潮			
1566	潰			
1567	澆			
1568	澇			
1569	澗			
1570	澤			
1571	激			
1572	濁			
1573	濃			
1574	澀			
1575	濕			
1576	濟			
1577	濫			
1578	濺			
1579	濾			
1580	瀉			
1581	灌			
1582	灘			
1583	灣			
1584	灸			
1585	災			
1586	炊			
1587	炕			
1588	炭			
1589	炮			
1590	為			
1591	烈			
1592	烘			
1593	烙			
1594	烹			
1595	無			
1596	焦			
1597	然			
1598	煉			
1599	煎			
1600	煙			
1601	煥			
1602	煩			
1603	熄			
1604	熨			
1605	熱			
1606	燈			
1607	燐			
1608	燒			
1609	燙			
1610	營			
1611	燭			
1612	爆			
1613	爐			
1614	爛			
1615	爭			
1616	爽			
1617	牆			
1618	片			
1619	版			
1620	牘			
1621	牢			
1622	牧			
1623	牲			
1624	牴			
1625	特			
1626	牽			
1627	犀			
1628	犧			
1629	犯			
1630	狀			
1631	狂			
1632	狄			
1633	狡			
1634	猛			
1635	猶			
1636	獅			
1637	獄			
1638	獎			
1639	獨			
1640	獲			
1641	獵			
1642	獸			
1643	獻			
1644	玄			
1645	率			
1646	玻			
1647	珍			
1648	珠			
1649	班			
1650	琉			
1651	理			
1652	琴			
1653	瑟			
1654	瑣			
1655	璧			
1656	環			
1657	瓊			
1658	瓤			
1659	瓷			
1660	甕			
1661	甘			
1662	甚			
1663	產			
1664	甥			
1665	甫			
1666	由			
1667	申			
1668	界			
1669	畏			
1670	畜			
1671	畝			
1672	畢			
1673	略			
1674	異			
1675	番			
1676	畫			
1677	當			
1678	疆			
1679	疊			
1680	疑			
1681	疤			
1682	疥			
1683	疫			
1684	疲			
1685	疹			
1686	疾			
1687	症			
1688	痘			
1689	痢			
1690	痣			
1691	瘋			
1692	瘟			
1693	瘧			
1694	瘡			
1695	療			
1696	癬			
1697	登			
1698	發			
1699	皂			
1700	皇			
1701	皺			
1702	盂			
1703	盆			
1704	盈			
1705	益			
1706	盒			
1707	盛			
1708	盜			
1709	盞			
1710	盟			
1711	盡			
1712	監			
1713	盤			
1714	盧			
1715	相			
1716	盼			
1717	盾			
1718	省			
1719	眠			
1720	眷			
1721	眾			
1722	睜			
1723	睬			
1724	睹			
1725	瞞			
1726	瞧			
1727	瞪			
1728	瞳			
1729	矛			
1730	矢			
1731	研			
1732	硝			
1733	硫			
1734	硯			
1735	碎			
1736	碑			
1737	碰			
1738	碟			
1739	磁			
1740	確			
1741	碾			
1742	磚			
1743	礎			
1744	礙			
1745	礦			
1746	礬			
1747	示			
1748	社			
1749	祀			
1750	祐			
1751	祕			
1752	祝			
1753	神			
1754	祠			
1755	祥			
1756	票			
1757	祭			
1758	視			
1759	祿			
1760	禁			
1761	禍			
1762	福			
1763	禮			
1764	禱			
1765	禽			
1766	萬			
1767	禾			
1768	禿			
1769	秀			
1770	私			
1771	秉			
1772	秋			
1773	科			
1774	秒			
1775	租			
1776	秦			
1777	稅			
1778	稈			
1779	程			
1780	稍			
1781	稜			
1782	種			
1783	稱			
1784	稿			
1785	穀			
1786	積			
1787	穗			
1788	穩			
1789	究			
1790	突			
1791	窖			
1792	窘			
1793	窩			
1794	窮			
1795	窯			
1796	竅			
1797	童			
1798	端			
1799	競			
1800	竿			
1801	笛			
1802	符			
1803	笨			
1804	第			
1805	筆			
1806	筍			
1807	筑			
1808	策			
1809	節			
1810	箇			
1811	箋			
1812	箏			
1813	算			
1814	管			
1815	篆			
1816	篇			
1817	篦			
1818	篩			
1819	篷			
1820	簡			
1821	簫			
1822	簷			
1823	簽			
1824	簾			
1825	簿			
1826	籃			
1827	籌			
1828	籍			
1829	籠			
1830	籤			
1831	籬			
1832	籮			
1833	粒			
1834	粗			
1835	粘			
1836	粺			
1837	粽			
1838	精			
1839	糊			
1840	糕			
1841	糙			
1842	糞			
1843	糟			
1844	糧			
1845	系			
1846	糾			
1847	紀			
1848	約			
1849	紅			
1850	紋			
1851	納			
1852	紐			
1853	純			
1854	紗			
1855	紙			
1856	級			
1857	紛			
1858	素			
1859	紡			
1860	索			
1861	紫			
1862	紮			
1863	細			
1864	紹			
1865	終			
1866	組			
1867	結			
1868	絕			
1869	絞			
1870	絡			
1871	給			
1872	絨			
1873	統			
1874	絲			
1875	絹			
1876	綁			
1877	綑			
1878	經			
1879	綠			
1880	綢			
1881	維			
1882	綱			
1883	網			
1884	綿			
1885	緊			
1886	緒			
1887	緗			
1888	線			
1889	緞			
1890	緣			
1891	編			
1892	緩			
1893	練			
1894	縐			
1895	縣			
1896	縫			
1897	縮			
1898	縱			
1899	總			
1900	績			
1901	繁			
1902	織			
1903	繞			
1904	繡			
1905	繩			
1906	繪			
1907	繭			
1908	繼			
1909	續			
1910	纏			
1911	纓			
1912	罩			
1913	罪			
1914	置			
1915	罰			
1916	罵			
1917	罷			
1918	羅			
1919	羔			
1920	群			
1921	義			
1922	羹			
1923	翁			
1924	習			
1925	翔			
1926	翠			
1927	者			
1928	而			
1929	耍			
1930	耐			
1931	耗			
1932	聊			
1933	聖			
1934	聘			
1935	聚			
1936	聞			
1937	聯			
1938	聰			
1939	聲			
1940	職			
1941	聽			
1942	聾			
1943	肆			
1944	肋			
1945	肘			
1946	肢			
1947	肯			
1948	育			
1949	肴			
1950	胎			
1951	能			
1952	脂			
1953	脆			
1954	脈			
1955	脊			
1956	脣			
1957	脫			
1958	脹			
1959	脾			
1960	腎			
1961	腑			
1962	腔			
1963	腥			
1964	腦			
1965	腮			
1966	腱			
1967	腳			
1968	腸			
1969	腹			
1970	膏			
1971	膚			
1972	膠			
1973	膨			
1974	膩			
1975	膽			
1976	膿			
1977	臂			
1978	臉			
1979	臊			
1980	臍			
1981	臘			
1982	臟			
1983	臣			
1984	臥			
1985	臧			
1986	臨			
1987	至			
1988	致			
1989	舀			
1990	與			
1991	興			
1992	舉			
1993	舊			
1994	舍			
1995	舒			
1996	舔			
1997	舞			
1998	舟			
1999	航			
2000	般			
2001	艇			
2002	良			
2003	艱			
2004	色			
2005	艾			
2006	芥			
2007	芬			
2008	芳			
2009	芹			
2010	苟			
2011	若			
2012	英			
2013	茂			
2014	范			
2015	茲			
2016	茸			
2017	荊			
2018	荐			
2019	荒			
2020	荷			
2021	莊			
2022	莫			
2023	菊			
2024	菌			
2025	華			
2026	菱			
2027	萍			
2028	著			
2029	葉			
2030	董			
2031	葦			
2032	葬			
2033	葵			
2034	葷			
2035	蒙			
2036	蒲			
2037	蒼			
2038	蒿			
2039	蓄			
2040	蓉			
2041	蓋			
2042	蓬			
2043	蓮			
2044	蓴			
2045	蔓			
2046	蔡			
2047	蔥			
2048	蔽			
2049	蕉			
2050	蕊			
2051	蕭			
2052	薅			
2053	薑			
2054	薛			
2055	薪			
2056	薰			
2057	藍			
2058	藕			
2059	藝			
2060	藥			
2061	蘆			
2062	蘇			
2063	蘭			
2064	蘸			
2065	虌			
2066	彪			
2067	虐			
2068	虔			
2069	處			
2070	虛			
2071	虞			
2072	號			
2073	虧			
2074	蛀			
2075	蛾			
2076	蝕			
2077	蝗			
2078	蝟			
2079	蝦			
2080	蝨			
2081	螢			
2082	蟬			
2083	蟲			
2084	蠅			
2085	蠢			
2086	蠶			
2087	蠻			
2088	術			
2089	街			
2090	衛			
2091	衝			
2092	衡			
2093	表			
2094	衫			
2095	衰			
2096	袁			
2097	袍			
2098	裁			
2099	裌			
2100	裕			
2101	補			
2102	裝			
2103	裡			
2104	複			
2105	褒			
2106	褥			
2107	褲			
2108	襖			
2109	襟			
2110	襪			
2111	襯			
2112	見			
2113	規			
2114	覓			
2115	親			
2116	覺			
2117	覽			
2118	觀			
2119	觸			
2120	言			
2121	訂			
2122	計			
2123	訊			
2124	討			
2125	訓			
2126	託			
2127	記			
2128	訛			
2129	訟			
2130	訪			
2131	設			
2132	許			
2133	訴			
2134	診			
2135	註			
2136	証			
2137	詐			
2138	評			
2139	詞			
2140	試			
2141	詩			
2142	話			
2143	該			
2144	詳			
2145	誇			
2146	誠			
2147	誌			
2148	認			
2149	誓			
2150	語			
2151	誤			
2152	誦			
2153	說			
2154	誰			
2155	課			
2156	調			
2157	談			
2158	請			
2159	諒			
2160	論			
2161	諜			
2162	諱			
2163	諷			
2164	諸			
2165	謀			
2166	謂			
2167	謄			
2168	謊			
2169	謎			
2170	謙			
2171	講			
2172	謝			
2173	謠			
2174	譏			
2175	識			
2176	譚			
2177	譜			
2178	警			
2179	譬			
2180	譯			
2181	議			
2182	護			
2183	譽			
2184	讀			
2185	變			
2186	讓			
2187	豈			
2188	豌			
2189	豎			
2190	豐			
2191	豚			
2192	象			
2193	豪			
2194	豬			
2195	豹			
2196	貂			
2197	貌			
2198	貓			
2199	貝			
2200	貞			
2201	負			
2202	財			
2203	貢			
2204	貧			
2205	貨			
2206	販			
2207	貪			
2208	貫			
2209	責			
2210	貴			
2211	貶			
2212	買			
2213	貸			
2214	費			
2215	貼			
2216	貿			
2217	賀			
2218	賃			
2219	賄			
2220	資			
2221	賈			
2222	賊			
2223	賓			
2224	賜			
2225	賞			
2226	賠			
2227	賢			
2228	賣			
2229	賤			
2230	質			
2231	賬			
2232	賴			
2233	賺			
2234	購			
2235	賽			
2236	贈			
2237	贊			
2238	贏			
2239	贓			
2240	贖			
2241	赤			
2242	赦			
2243	趁			
2244	超			
2245	越			
2246	趕			
2247	趙			
2248	趟			
2249	趣			
2250	足			
2251	距			
2252	跟			
2253	跡			
2254	跨			
2255	跪			
2256	踏			
2257	踢			
2258	蹟			
2259	蹤			
2260	躁			
2261	躬			
2262	躺			
2263	車			
2264	軌			
2265	軍			
2266	軟			
2267	軸			
2268	較			
2269	載			
2270	輔			
2271	輕			
2272	輛			
2273	輝			
2274	輦			
2275	輩			
2276	輪			
2277	輸			
2278	轄			
2279	轅			
2280	轉			
2281	轎			
2282	轟			
2283	辛			
2284	辜			
2285	辦			
2286	辨			
2287	辭			
2288	辮			
2289	辯			
2290	辰			
2291	辱			
2292	農			
2293	巡			
2294	迅			
2295	迎			
2296	迫			
2297	述			
2298	迷			
2299	逆			
2300	透			
2301	途			
2302	通			
2303	逛			
2304	速			
2305	造			
2306	逢			
2307	連			
2308	進			
2309	逼			
2310	遁			
2311	遇			
2312	遊			
2313	運			
2314	遍			
2315	過			
2316	達			
2317	違			
2318	遙			
2319	遞			
2320	遠			
2321	適			
2322	遭			
2323	遮			
2324	遲			
2325	遵			
2326	遷			
2327	選			
2328	遺			
2329	遼			
2330	邀			
2331	邁			
2332	還			
2333	邊			
2334	邦			
2335	邪			
2336	郊			
2337	郎			
2338	部			
2339	郭			
2340	郵			
2341	鄉			
2342	鄒			
2343	鄙			
2344	鄧			
2345	鄭			
2346	鄰			
2347	配			
2348	酥			
2349	酪			
2350	酬			
2351	酵			
2352	醃			
2353	醋			
2354	醜			
2355	醫			
2356	醬			
2357	釉			
2358	量			
2359	釐			
2360	金			
2361	釘			
2362	針			
2363	釣			
2364	釧			
2365	鈍			
2366	鈔			
2367	鈞			
2368	鈴			
2369	鉗			
2370	鉛			
2371	鉤			
2372	銀			
2373	銅			
2374	銘			
2375	銜			
2376	銳			
2377	鋒			
2378	鋤			
2379	鋪			
2380	鋸			
2381	鋼			
2382	錄			
2383	錐			
2384	錘			
2385	錢			
2386	錫			
2387	錯			
2388	錨			
2389	鍊			
2390	鍋			
2391	鍍			
2392	鍘			
2393	鍛			
2394	鍬			
2395	鍾			
2396	鎔			
2397	鎖			
2398	鎮			
2399	鏟			
2400	鏡			
2401	鐘			
2402	鐮			
2403	鐲			
2404	鐵			
2405	鑄			
2406	鑰			
2407	鑼			
2408	鑽			
2409	鑿			
2410	長			
2411	門			
2412	閂			
2413	閉			
2414	開			
2415	閏			
2416	閑			
2417	閒			
2418	間			
2419	閘			
2420	閣			
2421	閱			
2422	閻			
2423	闊			
2424	闖			
2425	關			
2426	防			
2427	阻			
2428	附			
2429	降			
2430	限			
2431	陜			
2432	陡			
2433	院			
2434	陣			
2435	除			
2436	陪			
2437	陰			
2438	陳			
2439	陵			
2440	陶			
2441	陷			
2442	陸			
2443	陽			
2444	隆			
2445	隊			
2446	隋			
2447	階			
2448	隔			
2449	際			
2450	障			
2451	隨			
2452	險			
2453	隱			
2454	隴			
2455	隸			
2456	雁			
2457	雄			
2458	雅			
2459	雇			
2460	雌			
2461	雕			
2462	雖			
2463	雙			
2464	雜			
2465	雞			
2466	離			
2467	難			
2468	零			
2469	雹			
2470	電			
2471	需			
2472	霄			
2473	震			
2474	霉			
2475	霞			
2476	霧			
2477	霸			
2478	靈			
2479	靜			
2480	非			
2481	靠			
2482	靴			
2483	鞏			
2484	韓			
2485	音			
2486	竟			
2487	章			
2488	韻			
2489	響			
2490	頂			
2491	頃			
2492	項			
2493	順			
2494	須			
2495	頌			
2496	預			
2497	頑			
2498	頒			
2499	頓			
2500	頗			
2501	領			
2502	頭			
2503	頸			
2504	頻			
2505	顆			
2506	題			
2507	額			
2508	顏			
2509	願			
2510	顛			
2511	類			
2512	顧			
2513	顯			
2514	風			
2515	飄			
2516	飛			
2517	食			
2518	飢			
2519	飯			
2520	飲			
2521	飼			
2522	飽			
2523	餅			
2524	養			
2525	餐			
2526	餓			
2527	餘			
2528	餡			
2529	館			
2530	餵			
2531	餿			
2532	饒			
2533	饞			
2534	馬			
2535	馮			
2536	馱			
2537	馳			
2538	駁			
2539	駐			
2540	駒			
2541	駕			
2542	駛			
2543	駝			
2544	駱			
2545	騎			
2546	騙			
2547	騰			
2548	騷			
2549	騾			
2550	驅			
2551	驕			
2552	驗			
2553	驚			
2554	驟			
2555	驢			
2556	骯			
2557	髒			
2558	體			
2559	髮			
2560	鬃			
2561	鬆			
2562	鬍			
2563	鬚			
2564	鬥			
2565	鬧			
2566	魂			
2567	魏			
2568	魔			
2569	魚			
2570	魯			
2571	鮑			
2572	鮮			
2573	鯉			
2574	鰾			
2575	鱗			
2576	鳥			
2577	鳳			
2578	鳴			
2579	鴉			
2580	鴨			
2581	鴻			
2582	鴿			
2583	鵝			
2584	鵲			
2585	鷹			
2586	鸚			
2587	鹹			
2588	鹼			
2589	鹽			
2590	鹿			
2591	麈			
2592	麒			
2593	麗			
2594	麥			
2595	麩			
2596	麴			
2597	黃			
2598	黍			
2599	黎			
2600	黏			
2601	墨			
2602	默			
2603	點			
2604	黨			
2605	鼎			
2606	齊			
2607	齋			
2608	齒			
2609	龍			
2610	龜			
