ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS
7236	Chengdu	唐	tʰ.a.ŋ.³¹	tʰ.a.ŋ.³¹	tʰ a ŋ ³¹
7237	Yangzhou	唐	tʰ.ɑ.ŋ.³⁴	tʰ.ɑ.ŋ.³⁴	tʰ ɑ ŋ ³⁴
7238	Suzhou	唐	d.ɒ.ŋ.²⁴	d.ɒ.ŋ.²⁴	d ɒ ŋ ²⁴
7239	Wenzhou	唐	d.ɔ.³¹	d.ɔ.³¹	d ɔ ³¹
7240	Changsha	唐	tʰ.a.n.¹³	tʰ.a.n.¹³	tʰ a n ¹³
7241	Shuangfeng	唐	d.a.ŋ.²³	d.a.ŋ.²³	d a ŋ ²³
7242	Nanchang	唐	tʰ.ɔ.ŋ.²⁴	tʰ.ɔ.ŋ.²⁴	tʰ ɔ ŋ ²⁴
7243	Meixian	唐	tʰ.ɔ.ŋ.¹¹	tʰ.ɔ.ŋ.¹¹	tʰ ɔ ŋ ¹¹
7244	Guangzhou	唐	tʰ.ɔ.ŋ.²¹	tʰ.ɔ.ŋ.²¹	tʰ ɔ ŋ ²¹
7245	Xiamen	唐	tʰ.ɔ.ŋ.²⁴	tʰ.ɔ.ŋ.²⁴	tʰ ɔ ŋ ²⁴
7246	Xiamen	唐	tʰ.ŋ.²⁴	tʰ.ŋ.²⁴	tʰ ŋ ²⁴
7247	Chaozhou	唐	t.ɯ.ŋ.⁵⁵	t.ɯ.ŋ.⁵⁵	t ɯ ŋ ⁵⁵
7248	Fuzhou	唐	t.o.u.ŋ.⁵²	t.o.u.ŋ.⁵²	t ou ŋ ⁵²
7249	Beijing	售	ʂ.o.u.⁵¹	ʂ.o.u.⁵¹	ʂ ou ⁵¹
7250	Jinan	售	ʂ.o.u.²¹	ʂ.o.u.²¹	ʂ ou ²¹
7251	Xi_an	售	ʂ.o.u.⁵⁵	ʂ.o.u.⁵⁵	ʂ ou ⁵⁵
7252	Taiyuan	售	s.o.u.⁴⁵	s.o.u.⁴⁵	s ou ⁴⁵
7253	Hankou	售	s.o.u.³⁵	s.o.u.³⁵	s ou ³⁵
7254	Chengdu	售	s.ə.u.¹³	s.ə.u.¹³	s əu ¹³
7255	Yangzhou	售	s.ɤ.ɯ.⁵⁵	s.ɤ.ɯ.⁵⁵	s ɤɯ ⁵⁵
7256	Suzhou	售	z.ø.y.³¹	z.ø.y.³¹	z øy ³¹
7257	Wenzhou	售	ʥ.i.u.²²	ʥ.i.u.²²	dʑ i/j u ²²
7258	Changsha	售	tʂ.ɤ.u.³³	tʂ.ɤ.u.³³	ʈʂ ɤu ³³
7259	Shuangfeng	售	ʥ.i.ʊ.³³	ʥ.i.ʊ.³³	dʑ i/j ʊ ³³
7260	Nanchang	售	ʨʰ.i.u.²¹	ʨʰ.i.u.²¹	tɕʰ i/j u ²¹
7261	Meixian	售	ʦʰ.u.¹¹	ʦʰ.u.¹¹	tsʰ u ¹¹
7262	Guangzhou	售	ʃ.a.u.²²	ʃ.a.u.²²	ʃ au ²²
7263	Xiamen	售	s.i.u.³³	s.i.u.³³	s i/j u ³³
7264	Chaozhou	售	ʦʰ.i.u.⁵⁵	ʦʰ.i.u.⁵⁵	tsʰ i/j u ⁵⁵
7265	Fuzhou	售	s.i.e.u.²⁴²	s.i.e.u.²⁴²	s i/j eu ²⁴²
7266	Shanghai	售	z.ɤ.¹³	z.ɤ.¹³	z ɤ ¹³
7267	Zhongyuan_Yinyun	售	ʃ.i.o.u.Q	ʃ.i.o.u.Q	ʃ i/j ou Q/⁵¹
7268	Beijing	唱	tʂʰ.a.ŋ.⁵¹	tʂʰ.a.ŋ.⁵¹	ʈʂʰ a ŋ ⁵¹
7269	Jinan	唱	tʂʰ.a.ŋ.²¹	tʂʰ.a.ŋ.²¹	ʈʂʰ a ŋ ²¹
7270	Xi_an	唱	tʂʰ.a.ŋ.⁵⁵	tʂʰ.a.ŋ.⁵⁵	ʈʂʰ a ŋ ⁵⁵
7271	Taiyuan	唱	ʦʰ.ɒː ⁴⁵	ʦʰ.ɒː ⁴⁵	tsʰ ɒː ⁴⁵
7272	Hankou	唱	ʦʰ.a.ŋ.³⁵	ʦʰ.a.ŋ.³⁵	tsʰ a ŋ ³⁵
7273	Chengdu	唱	ʦʰ.a.ŋ.¹³	ʦʰ.a.ŋ.¹³	tsʰ a ŋ ¹³
7274	Yangzhou	唱	ʦʰ.ɑ.ŋ.⁵⁵	ʦʰ.ɑ.ŋ.⁵⁵	tsʰ ɑ ŋ ⁵⁵
7275	Suzhou	唱	ʦʰ.ɒ.ŋ.⁴¹²	ʦʰ.ɒ.ŋ.⁴¹²	tsʰ ɒ ŋ ⁴¹²
7276	Wenzhou	唱	ʨʰ.i.⁴²	ʨʰ.i.⁴²	tɕʰ i ⁴²
7277	Changsha	唱	tʂʰ.a.n.⁵⁵	tʂʰ.a.n.⁵⁵	ʈʂʰ a n ⁵⁵
7278	Shuangfeng	唱	tʰ.a.ŋ.³⁵	tʰ.a.ŋ.³⁵	tʰ a ŋ ³⁵
7279	Nanchang	唱	ʦʰ.ɔ.ŋ.²¹³	ʦʰ.ɔ.ŋ.²¹³	tsʰ ɔ ŋ ²¹³
7280	Meixian	唱	ʦʰ.ɔ.ŋ.⁵²	ʦʰ.ɔ.ŋ.⁵²	tsʰ ɔ ŋ ⁵²
7281	Guangzhou	唱	ʧʰ.œ.ŋ.³³	ʧʰ.œ.ŋ.³³	tʃʰ œ ŋ ³³
7282	Xiamen	唱	ʦʰ.i.ɔ.ŋ.¹¹	ʦʰ.i.ɔ.ŋ.¹¹	tsʰ i/j ɔ ŋ ¹¹
7283	Xiamen	唱	ʦʰ.i.a.ŋ.¹¹	ʦʰ.i.a.ŋ.¹¹	tsʰ i/j a ŋ ¹¹
7284	Xiamen	唱	ʦʰ.i.uː ¹¹	ʦʰ.i.uː ¹¹	tsʰ iuː ¹¹
7285	Chaozhou	唱	ʦʰ.i.a.ŋ.²¹³	ʦʰ.i.a.ŋ.²¹³	tsʰ i/j a ŋ ²¹³
7286	Fuzhou	唱	ʦʰ.u.ɔ.ŋ.²¹³	ʦʰ.u.ɔ.ŋ.²¹³	tsʰ u/w ɔ ŋ ²¹³
7287	Shanghai	唱	ʦʰ.ɒː ³⁵/⁵⁵	ʦʰ.ɒː ³⁵/⁵⁵	tsʰ ɒː ³⁵/⁵⁵
7288	Zhongyuan_Yinyun	唱	ʧʰ.i.a.ŋ.Q	ʧʰ.i.a.ŋ.Q	tʃʰ i/j a ŋ Q/⁵¹
7289	Beijing	商	ʂ.a.ŋ.⁵⁵	ʂ.a.ŋ.⁵⁵	ʂ a ŋ ⁵⁵
7290	Jinan	商	ʂ.a.ŋ.²¹³	ʂ.a.ŋ.²¹³	ʂ a ŋ ²¹³
7291	Xi_an	商	ʂ.a.ŋ.²¹	ʂ.a.ŋ.²¹	ʂ a ŋ ²¹
7292	Taiyuan	商	s.ɒː ¹¹	s.ɒː ¹¹	s ɒː ¹¹
7293	Hankou	商	s.a.ŋ.⁵⁵	s.a.ŋ.⁵⁵	s a ŋ ⁵⁵
7294	Chengdu	商	s.a.ŋ.⁴⁴	s.a.ŋ.⁴⁴	s a ŋ ⁴⁴
7295	Yangzhou	商	s.ɑ.ŋ.²¹	s.ɑ.ŋ.²¹	s ɑ ŋ ²¹
7296	Suzhou	商	s.a.ŋ.⁴⁴	s.a.ŋ.⁴⁴	s a ŋ ⁴⁴
7297	Wenzhou	商	ɕ.i.⁴⁴	ɕ.i.⁴⁴	ɕ i ⁴⁴
7298	Changsha	商	ʂ.a.n.³³	ʂ.a.n.³³	ʂ a n ³³
7299	Shuangfeng	商	ɕ.i.a.ŋ.⁵⁵	ɕ.i.a.ŋ.⁵⁵	ɕ i/j a ŋ ⁵⁵
7300	Nanchang	商	s.ɔ.ŋ.⁴²	s.ɔ.ŋ.⁴²	s ɔ ŋ ⁴²
7301	Meixian	商	s.ɔ.ŋ.⁴⁴	s.ɔ.ŋ.⁴⁴	s ɔ ŋ ⁴⁴
7302	Guangzhou	商	ʃ.œ.ŋ.⁵³/⁵⁵	ʃ.œ.ŋ.⁵³/⁵⁵	ʃ œ ŋ ⁵³/⁵⁵
7303	Xiamen	商	s.i.ɔ.ŋ.⁵⁵	s.i.ɔ.ŋ.⁵⁵	s i/j ɔ ŋ ⁵⁵
7304	Chaozhou	商	s.i.a.ŋ.³³	s.i.a.ŋ.³³	s i/j a ŋ ³³
7305	Fuzhou	商	s.u.ɔ.ŋ.⁴⁴	s.u.ɔ.ŋ.⁴⁴	s u/w ɔ ŋ ⁴⁴
7306	Shanghai	商	s.ɒː ⁵³	s.ɒː ⁵³	s ɒː ⁵³
7307	Zhongyuan_Yinyun	商	ʃ.i.a.ŋ.P	ʃ.i.a.ŋ.P	ʃ i/j a ŋ P/⁵⁵
7308	Beijing	問	.u.ə.n.⁵¹	.u.ə.n.⁵¹	u/w ə n ⁵¹
7309	Jinan	問	.u.eː ²¹	.u.eː ²¹	ueː ²¹
7310	Xi_an	問	v.eː ⁵⁵	v.eː ⁵⁵	v eː ⁵⁵
7311	Taiyuan	問	v.u.ŋ.⁴⁵	v.u.ŋ.⁴⁵	v u ŋ ⁴⁵
7312	Hankou	問	.u.ə.n.³⁵	.u.ə.n.³⁵	u/w ə n ³⁵
7313	Chengdu	問	.u.ə.n.¹³	.u.ə.n.¹³	u/w ə n ¹³
7314	Yangzhou	問	.u.ə.n.⁵⁵	.u.ə.n.⁵⁵	u/w ə n ⁵⁵
7315	Suzhou	問	v.ə.n.³¹	v.ə.n.³¹	v ə n ³¹
7316	Suzhou	問	m.ə.n.³¹	m.ə.n.³¹	m ə n ³¹
7317	Wenzhou	問	v.a.ŋ.²²	v.a.ŋ.²²	v a ŋ ²²
7318	Changsha	問	.u.ə.n.⁵⁵	.u.ə.n.⁵⁵	u/w ə n ⁵⁵
7319	Changsha	問	.u.ə.n.²¹	.u.ə.n.²¹	u/w ə n ²¹
7320	Shuangfeng	問	.u.ə.n.³³	.u.ə.n.³³	u/w ə n ³³
7321	Nanchang	問	.u.n.²¹	.u.n.²¹	u n ²¹
7322	Meixian	問	m.u.n.⁵²	m.u.n.⁵²	m u n ⁵²
7323	Guangzhou	問	m.a.n.²²	m.a.n.²²	m a n ²²
7324	Xiamen	問	b.u.n.³³	b.u.n.³³	b u n ³³
7325	Xiamen	問	m.ŋ.³³	m.ŋ.³³	m ŋ ³³
7326	Chaozhou	問	m.u.ŋ.¹¹	m.u.ŋ.¹¹	m u ŋ ¹¹
7327	Fuzhou	問	.o.u.ŋ.²⁴²	.o.u.ŋ.²⁴²	ou ŋ ²⁴²
7328	Fuzhou	問	m.u.ɔ.ŋ.²¹³	m.u.ɔ.ŋ.²¹³	m u/w ɔ ŋ ²¹³
7329	Shanghai	問	v.ə.ŋ.¹³	v.ə.ŋ.¹³	v ə ŋ ¹³
7330	Zhongyuan_Yinyun	問	v.ə.n.Q	v.ə.n.Q	v ə n Q/⁵¹
7350	Beijing	啞	.i.a.²¹⁴	.i.a.²¹⁴	i/j a ²¹⁴
7351	Jinan	啞	.i.a.⁵⁵	.i.a.⁵⁵	i/j a ⁵⁵
7352	Xi_an	啞	.i.a.⁵³	.i.a.⁵³	i/j a ⁵³
7353	Taiyuan	啞	.i.a.⁵³	.i.a.⁵³	i/j a ⁵³
7354	Hankou	啞	.i.a.⁴²	.i.a.⁴²	i/j a ⁴²
7355	Chengdu	啞	.i.a.⁵³	.i.a.⁵³	i/j a ⁵³
7356	Yangzhou	啞	.ɑ.⁴²	.ɑ.⁴²	ɑ ⁴²
7357	Suzhou	啞	.o.⁵²	.o.⁵²	o ⁵²
7358	Wenzhou	啞	.o.⁴⁵	.o.⁴⁵	o ⁴⁵
7359	Changsha	啞	.i.a.⁴¹	.i.a.⁴¹	i/j a ⁴¹
7360	Changsha	啞	ŋ.a.⁴¹	ŋ.a.⁴¹	ŋ a ⁴¹
7361	Shuangfeng	啞	ŋ.o.²¹	ŋ.o.²¹	ŋ o ²¹
7362	Nanchang	啞	ŋ.a.²¹³	ŋ.a.²¹³	ŋ a ²¹³
7363	Meixian	啞	.a.³¹	.a.³¹	a ³¹
7364	Guangzhou	啞	.a.³⁵	.a.³⁵	a ³⁵
7365	Xiamen	啞	.a.⁵¹	.a.⁵¹	a ⁵¹
7366	Chaozhou	啞	.e.⁵³	.e.⁵³	e ⁵³
7367	Fuzhou	啞	.a.³¹	.a.³¹	a ³¹
7368	Shanghai	啞	.i.a.³⁵/⁵⁵	.i.a.³⁵/⁵⁵	i/j a ³⁵/⁵⁵
7369	Shanghai	啞	.o.³⁵/⁵⁵	.o.³⁵/⁵⁵	o ³⁵/⁵⁵
7370	Zhongyuan_Yinyun	啞	.a.S	.a.S	a S/³⁵
7331	Beijing	啟	ʨʰ.i.²¹⁴	ʨʰ.i.²¹⁴	tɕʰ i ²¹⁴
7332	Jinan	啟	ʨʰ.i.⁵⁵	ʨʰ.i.⁵⁵	tɕʰ i ⁵⁵
7333	Xi_an	啟	ʨʰ.i.⁵³	ʨʰ.i.⁵³	tɕʰ i ⁵³
7334	Taiyuan	啟	ʨʰ.i.⁵³	ʨʰ.i.⁵³	tɕʰ i ⁵³
7335	Hankou	啟	ʨʰ.i.⁴²	ʨʰ.i.⁴²	tɕʰ i ⁴²
7336	Chengdu	啟	ʨʰ.i.⁵³	ʨʰ.i.⁵³	tɕʰ i ⁵³
7337	Yangzhou	啟	ʨʰ.i.⁴²	ʨʰ.i.⁴²	tɕʰ i ⁴²
7338	Suzhou	啟	ʨʰ.i.⁵²	ʨʰ.i.⁵²	tɕʰ i ⁵²
7339	Wenzhou	啟	ʦʰ.ɿ.⁴⁵	ʦʰ.ɿ.⁴⁵	tsʰ ɿ ⁴⁵
7340	Changsha	啟	ʨʰ.i.⁴¹	ʨʰ.i.⁴¹	tɕʰ i ⁴¹
7341	Shuangfeng	啟	ʨʰ.i.²¹	ʨʰ.i.²¹	tɕʰ i ²¹
7342	Nanchang	啟	ʨʰ.i.²¹³	ʨʰ.i.²¹³	tɕʰ i ²¹³
7343	Meixian	啟	kʰ.i.³¹	kʰ.i.³¹	kʰ i ³¹
7344	Guangzhou	啟	kʰ.a.i.³⁵	kʰ.a.i.³⁵	kʰ ai ³⁵
7345	Xiamen	啟	kʰ.e.⁵¹	kʰ.e.⁵¹	kʰ e ⁵¹
7346	Chaozhou	啟	kʰ.i.⁵³	kʰ.i.⁵³	kʰ i ⁵³
7347	Fuzhou	啟	kʰ.i.e.³¹	kʰ.i.e.³¹	kʰ i/j e ³¹
7348	Shanghai	啟	ʨʰ.i.³⁵/⁵⁵	ʨʰ.i.³⁵/⁵⁵	tɕʰ i ³⁵/⁵⁵
7349	Zhongyuan_Yinyun	啟	kʰ.i.S	kʰ.i.S	kʰ i S/³⁵
7371	Beijing	啼	tʰ.i.³⁵	tʰ.i.³⁵	tʰ i ³⁵
7372	Jinan	啼	tʰ.i.⁴²	tʰ.i.⁴²	tʰ i ⁴²
7373	Xi_an	啼	tʰ.i.²⁴	tʰ.i.²⁴	tʰ i ²⁴
7374	Taiyuan	啼	tʰ.i.¹¹	tʰ.i.¹¹	tʰ i ¹¹
7375	Hankou	啼	tʰ.i.²¹³	tʰ.i.²¹³	tʰ i ²¹³
7376	Chengdu	啼	tʰ.i.³¹	tʰ.i.³¹	tʰ i ³¹
7377	Yangzhou	啼	tʰ.i.³⁴	tʰ.i.³⁴	tʰ i ³⁴
7378	Suzhou	啼	d.i.²⁴	d.i.²⁴	d i ²⁴
7379	Wenzhou	啼	d.e.i.³¹	d.e.i.³¹	d ei ³¹
7380	Changsha	啼	t.i.¹³	t.i.¹³	t i ¹³
7381	Shuangfeng	啼	d.i.²³	d.i.²³	d i ²³
7382	Nanchang	啼	tʰ.i.²⁴	tʰ.i.²⁴	tʰ i ²⁴
7383	Meixian	啼	tʰ.a.i.¹¹	tʰ.a.i.¹¹	tʰ ai ¹¹
7384	Guangzhou	啼	tʰ.a.i.²¹	tʰ.a.i.²¹	tʰ ai ²¹
7385	Xiamen	啼	t.e.⁵⁵	t.e.⁵⁵	t e ⁵⁵
7386	Chaozhou	啼	tʰ.i.⁵⁵	tʰ.i.⁵⁵	tʰ i ⁵⁵
7387	Fuzhou	啼	tʰ.ɛ.⁵²	tʰ.ɛ.⁵²	tʰ ɛ ⁵²
7388	Shanghai	啼	t.i.¹³	t.i.¹³	t i ¹³
7389	Zhongyuan_Yinyun	啼	tʰ.i.P²	tʰ.i.P²	tʰ i P²/⁵⁵
44185	Beijing	善	ʂ.a.n.⁵¹	ʂ.a.n.⁵¹	ʂ a n ⁵¹
44186	Jinan	善	ʂ.aː ²¹	ʂ.aː ²¹	ʂ aː ²¹
44187	Xi_an	善	ʂ.aː ⁵⁵	ʂ.aː ⁵⁵	ʂ aː ⁵⁵
44188	Taiyuan	善	s.æː ⁴⁵	s.æː ⁴⁵	s æː ⁴⁵
44189	Hankou	善	s.a.n.³⁵	s.a.n.³⁵	s a n ³⁵
44190	Chengdu	善	s.a.n.¹³	s.a.n.¹³	s a n ¹³
44191	Yangzhou	善	ɕ.ɪː ⁵⁵	ɕ.ɪː ⁵⁵	ɕ ɪː ⁵⁵
44192	Suzhou	善	z.ø.³¹	z.ø.³¹	z ø ³¹
44193	Wenzhou	善	ɦ.i.³⁴	ɦ.i.³⁴	ɦ i ³⁴
44194	Changsha	善	ʂ.ɤ.n.⁵⁵	ʂ.ɤ.n.⁵⁵	ʂ ɤ n ⁵⁵
44195	Shuangfeng	善	ɣ.ɪː ³³	ɣ.ɪː ³³	ɣ ɪː ³³
44196	Nanchang	善	s.ɛ.n.²¹	s.ɛ.n.²¹	s ɛ n ²¹
44197	Meixian	善	s.a.n.⁵²	s.a.n.⁵²	s a n ⁵²
44198	Guangzhou	善	s.i.n.²²	s.i.n.²²	s i n ²²
44199	Xiamen	善	s.i.a.n.³³	s.i.a.n.³³	s i/j a n ³³
44200	Chaozhou	善	s.i.e.ŋ.³⁵	s.i.e.ŋ.³⁵	s i/j e ŋ ³⁵
44201	Fuzhou	善	s.i.e.ŋ.²⁴²	s.i.e.ŋ.²⁴²	s i/j e ŋ ²⁴²
44202	Shanghai	善	z.ø.¹³	z.ø.¹³	z ø ¹³
44203	Zhongyuan_Yinyun	善	ʃ.i.e.n.Q	ʃ.i.e.n.Q	ʃ i/j e n Q/⁵¹
7390	Beijing	喉	x.o.u.³⁵	x.o.u.³⁵	x ou ³⁵
7391	Jinan	喉	x.o.u.⁴²	x.o.u.⁴²	x ou ⁴²
7392	Xi_an	喉	x.o.u.²⁴	x.o.u.²⁴	x ou ²⁴
7393	Taiyuan	喉	x.o.u.¹¹	x.o.u.¹¹	x ou ¹¹
7394	Hankou	喉	x.o.u.²¹³	x.o.u.²¹³	x ou ²¹³
7395	Chengdu	喉	x.ə.u.³¹	x.ə.u.³¹	x əu ³¹
7396	Yangzhou	喉	x.ɤ.ɯ.³⁴	x.ɤ.ɯ.³⁴	x ɤɯ ³⁴
7397	Suzhou	喉	ɦ.ø.y.²⁴	ɦ.ø.y.²⁴	ɦ øy ²⁴
7398	Wenzhou	喉	ɦ.a.u.³¹	ɦ.a.u.³¹	ɦ au ³¹
7399	Changsha	喉	x.ɤ.u.¹³	x.ɤ.u.¹³	x ɤu ¹³
7400	Shuangfeng	喉	ɣ.i.e.²³	ɣ.i.e.²³	ɣ i/j e ²³
7401	Nanchang	喉	h.ɛ.u.²⁴	h.ɛ.u.²⁴	h ɛu ²⁴
7402	Meixian	喉	h.ɛ.u.¹¹	h.ɛ.u.¹¹	h ɛu ¹¹
7403	Guangzhou	喉	h.a.u.²¹	h.a.u.²¹	h au ²¹
7404	Xiamen	喉	h.ɔ.²⁴	h.ɔ.²⁴	h ɔ ²⁴
7405	Xiamen	喉	.a.u.²⁴	.a.u.²⁴	au ²⁴
7406	Chaozhou	喉	.a.u.⁵⁵	.a.u.⁵⁵	au ⁵⁵
7407	Fuzhou	喉	x.e.u.⁵²	x.e.u.⁵²	x eu ⁵²
7408	Shanghai	喉	ɦ.ɤ.¹³	ɦ.ɤ.¹³	ɦ ɤ ¹³
7409	Zhongyuan_Yinyun	喉	x.o.u.P²	x.o.u.P²	x ou P²/⁵⁵
7410	Beijing	喊	x.a.n.²¹⁴	x.a.n.²¹⁴	x a n ²¹⁴
7411	Jinan	喊	x.aː ⁵⁵	x.aː ⁵⁵	x aː ⁵⁵
7412	Xi_an	喊	x.aː ⁵³	x.aː ⁵³	x aː ⁵³
7413	Taiyuan	喊	x.æː ⁵³	x.æː ⁵³	x æː ⁵³
7414	Hankou	喊	x.a.n.⁴²	x.a.n.⁴²	x a n ⁴²
7415	Chengdu	喊	x.a.n.⁵³	x.a.n.⁵³	x a n ⁵³
7416	Yangzhou	喊	x.ɛː ⁴²	x.ɛː ⁴²	x ɛː ⁴²
7417	Suzhou	喊	h.E.⁴¹²	h.E.⁴¹²	h ᴇ/ɛ ⁴¹²
7418	Wenzhou	喊	x.a.⁴⁵	x.a.⁴⁵	x a ⁴⁵
7419	Changsha	喊	x.a.n.⁴¹	x.a.n.⁴¹	x a n ⁴¹
7420	Shuangfeng	喊	x.aː ²¹	x.aː ²¹	x aː ²¹
7421	Nanchang	喊	h.a.n.²¹³	h.a.n.²¹³	h a n ²¹³
7422	Meixian	喊	h.a.m.⁵²	h.a.m.⁵²	h a m ⁵²
7423	Guangzhou	喊	h.a:.m.³³	h.a:.m.³³	h aː m ³³
7424	Xiamen	喊	h.a.m.⁵¹	h.a.m.⁵¹	h a m ⁵¹
7425	Chaozhou	喊	h.a.m.²¹³	h.a.m.²¹³	h a m ²¹³
7426	Fuzhou	喊	x.a.ŋ.³¹	x.a.ŋ.³¹	x a ŋ ³¹
7427	Shanghai	喊	h.E.³⁵/⁵⁵	h.E.³⁵/⁵⁵	h ᴇ/ɛ ³⁵/⁵⁵
7428	Zhongyuan_Yinyun	喊	x.i.a.m.S	x.i.a.m.S	x i/j a m S/³⁵
7429	Beijing	喘	tʂʰu.a.n.²¹⁴	tʂʰu.a.n.²¹⁴	ʈʂʰ u a n ²¹⁴
7430	Jinan	喘	tʂʰu.aː ⁵⁵	tʂʰu.aː ⁵⁵	ʈʂʰ u aː ⁵⁵
7431	Xi_an	喘	pfʰ.aː ⁵³	pfʰ.aː ⁵³	pfʰ aː ⁵³
7432	Taiyuan	喘	ʦʰ.u.æː ⁵³	ʦʰ.u.æː ⁵³	tsʰ uæː ⁵³
7433	Hankou	喘	tʰ.a.n.³⁵	tʰ.a.n.³⁵	tʰ a n ³⁵
7434	Chengdu	喘	ʦʰ.u.a.i.⁵³	ʦʰ.u.a.i.⁵³	tsʰ u/w ai ⁵³
7435	Yangzhou	喘	ʦʰ.u.oː ⁴²	ʦʰ.u.oː ⁴²	tsʰ uoː ⁴²
7436	Suzhou	喘	ʦʰ.ø.⁵²	ʦʰ.ø.⁵²	tsʰ ø ⁵²
7437	Wenzhou	喘	ʨʰ.y.⁴⁵	ʨʰ.y.⁴⁵	tɕʰ y ⁴⁵
7438	Changsha	喘	ʨʰ.y.eː ⁴¹	ʨʰ.y.eː ⁴¹	tɕʰ yeː ⁴¹
7439	Shuangfeng	喘	tʰ.u.iː ²¹	tʰ.u.iː ²¹	tʰ uiː ²¹
7440	Nanchang	喘	ʦʰ.ɔ.n.²¹³	ʦʰ.ɔ.n.²¹³	tsʰ ɔ n ²¹³
7441	Meixian	喘	ʦʰ.ɔ.n.³¹	ʦʰ.ɔ.n.³¹	tsʰ ɔ n ³¹
7442	Guangzhou	喘	ʧʰ.y.n.³⁵	ʧʰ.y.n.³⁵	tʃʰ y n ³⁵
7443	Xiamen	喘	ʦʰ.u.n.⁵¹	ʦʰ.u.n.⁵¹	tsʰ u n ⁵¹
7444	Xiamen	喘	ʦʰ.u.a.n.⁵¹	ʦʰ.u.a.n.⁵¹	tsʰ u/w a n ⁵¹
7445	Chaozhou	喘	ʦʰ.u.e.ŋ.⁵³	ʦʰ.u.e.ŋ.⁵³	tsʰ u/w e ŋ ⁵³
7446	Fuzhou	喘	ʦʰ.u.a.ŋ.³¹	ʦʰ.u.a.ŋ.³¹	tsʰ u/w a ŋ ³¹
7447	Shanghai	喘	ʦʰ.ø.³⁵/⁵⁵	ʦʰ.ø.³⁵/⁵⁵	tsʰ ø ³⁵/⁵⁵
7448	Zhongyuan_Yinyun	喘	ʧʰ.y.e.n.S	ʧʰ.y.e.n.S	tʃʰ y/ɥ e n S/³⁵
7449	Beijing	喚	x.u.a.n.⁵¹	x.u.a.n.⁵¹	x u/w a n ⁵¹
7450	Jinan	喚	x.u.aː ²¹	x.u.aː ²¹	x uaː ²¹
7451	Xi_an	喚	x.u.aː ⁵⁵	x.u.aː ⁵⁵	x uaː ⁵⁵
7452	Taiyuan	喚	x.u.æː ⁴⁵	x.u.æː ⁴⁵	x uæː ⁴⁵
7453	Hankou	喚	x.u.a.n.³⁵	x.u.a.n.³⁵	x u/w a n ³⁵
7454	Chengdu	喚	x.u.a.n.¹³	x.u.a.n.¹³	x u/w a n ¹³
7455	Yangzhou	喚	x.u.oː ⁵⁵	x.u.oː ⁵⁵	x uoː ⁵⁵
7456	Suzhou	喚	h.u.ø.⁴¹²	h.u.ø.⁴¹²	h u/w ø ⁴¹²
7457	Wenzhou	喚	ɕ.y.⁴²	ɕ.y.⁴²	ɕ y ⁴²
7458	Changsha	喚	x.oː ⁵⁵	x.oː ⁵⁵	x oː ⁵⁵
7459	Shuangfeng	喚	x.u.ɛː ³⁵	x.u.ɛː ³⁵	x uɛː ³⁵
7460	Nanchang	喚	ɸ.u.ɔ.n.²¹	ɸ.u.ɔ.n.²¹	ɸ u/w ɔ n ²¹
7461	Meixian	喚	f.a.n.⁵²	f.a.n.⁵²	f a n ⁵²
7462	Guangzhou	喚	.u.u.n.²²	.u.u.n.²²	u/w u n ²²
7463	Xiamen	喚	h.u.a.n.¹¹	h.u.a.n.¹¹	h u/w a n ¹¹
7464	Chaozhou	喚	h.u.e.ŋ.²¹³	h.u.e.ŋ.²¹³	h u/w e ŋ ²¹³
7465	Fuzhou	喚	x.u.a.ŋ.²¹³	x.u.a.ŋ.²¹³	x u/w a ŋ ²¹³
7466	Shanghai	喚	h.u.ø.⁵³	h.u.ø.⁵³	h u/w ø ⁵³
7467	Zhongyuan_Yinyun	喚	x.o.n.Q	x.o.n.Q	x o n Q/⁵¹
7468	Beijing	喜	ɕ.i.²¹⁴	ɕ.i.²¹⁴	ɕ i ²¹⁴
7469	Jinan	喜	ɕ.i.⁵⁵	ɕ.i.⁵⁵	ɕ i ⁵⁵
7470	Xi_an	喜	ɕ.i.⁵³	ɕ.i.⁵³	ɕ i ⁵³
7471	Taiyuan	喜	ɕ.i.⁵³	ɕ.i.⁵³	ɕ i ⁵³
7472	Hankou	喜	ɕ.i.⁴²	ɕ.i.⁴²	ɕ i ⁴²
7473	Chengdu	喜	ɕ.i.⁵³	ɕ.i.⁵³	ɕ i ⁵³
7474	Yangzhou	喜	ɕ.i.⁴²	ɕ.i.⁴²	ɕ i ⁴²
7475	Suzhou	喜	ɕ.i.⁵²	ɕ.i.⁵²	ɕ i ⁵²
7476	Wenzhou	喜	s.ɿ.⁴⁵	s.ɿ.⁴⁵	s ɿ ⁴⁵
7477	Changsha	喜	ɕ.i.⁴¹	ɕ.i.⁴¹	ɕ i ⁴¹
7478	Shuangfeng	喜	ɕ.i.²¹	ɕ.i.²¹	ɕ i ²¹
7479	Nanchang	喜	ɕ.i.²¹³	ɕ.i.²¹³	ɕ i ²¹³
7480	Meixian	喜	h.i.³¹	h.i.³¹	h i ³¹
7481	Guangzhou	喜	h.e.i.³⁵	h.e.i.³⁵	h ei ³⁵
