CHARACTER	PINYIN	DOCULECT	VALUE	SEGMENTS	WENBAI_YIDU
報	bào	Wenzhou	p.ɜ.⁴²	p ɜ ⁴²	1
報	bào	Changsha	p.a.u.⁵⁵	p a u ⁵⁵	1
報	bào	Shuangfeng	p.ə.³⁵	p ə ³⁵	1
報	bào	Nanchang	p.a.u.⁴⁵	p a u ⁴⁵	1
報	bào	Meixian	p.a.u.⁵²	p a u ⁵²	1
報	bào	Guangzhou	p.o.u.³³	p o u ³³	1
報	bào	Xiamen	p.o.¹¹	p o ¹¹	1
報	bào	Chaozhou	p.o.²¹³	p o ²¹³	1
報	bào	Fuzhou	p.ɔ.²¹³	p ɔ ²¹³	1
報	bào	Shanghai	p.ɔ.³⁵/⁵⁵	p ɔ ³⁵/⁵⁵	1
報	bào	Zhongyuan_Yinyun	p.a.u.Q	p a u Q	1
場	chǎng	Beijing	tʂʰ.a.ŋ.²¹⁴	tʂʰ a ŋ ²¹⁴	1
場	chǎng	Beijing	tʂʰ.a.ŋ.³⁵	tʂʰ a ŋ ³⁵	1
場	chǎng	Jinan	tʂʰ.a.ŋ.⁵⁵	tʂʰ a ŋ ⁵⁵	1
場	chǎng	Xi_an	tʂʰ.a.ŋ.²⁴	tʂʰ a ŋ ²⁴	1
場	chǎng	Taiyuan	ʦʰ.ɒː ⁵³	ʦʰ ɒː ⁵³	1
場	chǎng	Hankou	ʦʰ.a.ŋ.⁴²	ʦʰ a ŋ ⁴²	1
場	chǎng	Chengdu	ʦʰ.a.ŋ.³¹	ʦʰ a ŋ ³¹	1
場	chǎng	Yangzhou	ʦʰ.ɑ.ŋ.³⁴	ʦʰ ɑ ŋ ³⁴	1
場	chǎng	Yangzhou	ʦʰ.ɑ.ŋ.⁴²	ʦʰ ɑ ŋ ⁴²	1
場	chǎng	Suzhou	z.a.ŋ.²⁴	z a ŋ ²⁴	1
場	chǎng	Wenzhou	ʥ.i.³¹	ʥ i ³¹	1
場	chǎng	Changsha	tʂ.a.n.¹³	tʂ a n ¹³	1
場	chǎng	Shuangfeng	d.a.ŋ.²³	d a ŋ ²³	1
場	chǎng	Nanchang	ʦʰ.ɔ.ŋ.²⁴	ʦʰ ɔ ŋ ²⁴	1
場	chǎng	Meixian	ʦʰ.ɔ.ŋ.¹¹	ʦʰ ɔ ŋ ¹¹	1
場	chǎng	Guangzhou	ʧʰ.œ.ŋ.²¹	ʧʰ œ ŋ ²¹	1
場	chǎng	Xiamen	t.i.ɔ.ŋ.²⁴	t i ɔ ŋ ²⁴	1
場	chǎng	Xiamen	t.i.uː ²⁴	t i uː ²⁴	1
場	chǎng	Chaozhou	t.i.eː ⁵⁵	t i eː ⁵⁵	1
場	chǎng	Fuzhou	t.u.ɔ.ŋ.⁵²	t u ɔ ŋ ⁵²	1
場	chǎng	Shanghai	z.aː ¹³	z aː ¹³	1
場	chǎng	Zhongyuan_Yinyun	ʧ.i.a.ŋ.P²	ʧ i a ŋ P²	1
堵	dǔ	Beijing	t.u.²¹⁴	t u ²¹⁴	1
堵	dǔ	Jinan	t.u.⁵⁵	t u ⁵⁵	1
堵	dǔ	Xi_an	t.o.u.⁵³	t o u ⁵³	1
堵	dǔ	Taiyuan	t.u.⁵³	t u ⁵³	1
堵	dǔ	Hankou	t.o.u.⁴²	t o u ⁴²	1
堵	dǔ	Chengdu	t.u.⁵³	t u ⁵³	1
堵	dǔ	Yangzhou	t.u.⁴²	t u ⁴²	1
堵	dǔ	Suzhou	t.ə.u.⁵²	t ə u ⁵²	1
堵	dǔ	Wenzhou	t.ɵ.y.⁴⁵	t ɵ y ⁴⁵	1
堵	dǔ	Changsha	t.ɤ.u.⁴¹	t ɤ u ⁴¹	1
堵	dǔ	Shuangfeng	t.ə.u.²¹	t ə u ²¹	1
堵	dǔ	Nanchang	t.u.²¹³	t u ²¹³	1
堵	dǔ	Meixian	t.u.³¹	t u ³¹	1
堵	dǔ	Guangzhou	t.o.u.³⁵	t o u ³⁵	1
堵	dǔ	Xiamen	t.ɔ.⁵¹	t ɔ ⁵¹	1
堵	dǔ	Chaozhou	t.u.⁵³	t u ⁵³	1
堵	dǔ	Fuzhou	t.u.³¹	t u ³¹	1
塊	kuài	Beijing	kʰ.u.a.i.⁵¹	kʰ u a i ⁵¹	1
塊	kuài	Jinan	kʰ.u.ɛ.²¹	kʰ u ɛ ²¹	1
塊	kuài	Xi_an	kʰ.ɛ.⁵³	kʰ ɛ ⁵³	1
塊	kuài	Taiyuan	kʰ.u.a.i.⁴⁵	kʰ u a i ⁴⁵	1
塊	kuài	Hankou	kʰ.u.a.i.⁴²	kʰ u a i ⁴²	1
塊	kuài	Chengdu	kʰ.u.a.i.⁵³	kʰ u a i ⁵³	1
塊	kuài	Yangzhou	kʰ.u.ɛ.⁵⁵	kʰ u ɛ ⁵⁵	1
塊	kuài	Suzhou	kʰ.u.E.⁴¹²	kʰ u E ⁴¹²	1
塊	kuài	Wenzhou	kʰ.a.i.⁴²	kʰ a i ⁴²	1
塊	kuài	Changsha	kʰ.u.a.i.⁵⁵	kʰ u a i ⁵⁵	1
塊	kuài	Shuangfeng	kʰ.u.a.²¹	kʰ u a ²¹	1
塊	kuài	Nanchang	kʰ.u.a.i.²¹³	kʰ u a i ²¹³	1
塊	kuài	Meixian	kʰ.u.a.i.⁵²	kʰ u a i ⁵²	1
塊	kuài	Guangzhou	f.a:.i.³³	f a: i ³³	1
塊	kuài	Xiamen	kʰ.u.a.i.¹¹	kʰ u a i ¹¹	1
塊	kuài	Xiamen	tʰ.e.¹¹	tʰ e ¹¹	1
塊	kuài	Chaozhou	k.o.²¹³	k o ²¹³	1
塊	kuài	Fuzhou	kʰ.u.a.i.²¹³	kʰ u a i ²¹³	1
塊	kuài	Fuzhou	tʰ.ɵ.y.²¹³	tʰ ɵ y ²¹³	1
塊	kuài	Shanghai	kʰ.u.E.³⁵/⁵⁵	kʰ u E ³⁵/⁵⁵	1
塊	kuài	Zhongyuan_Yinyun	kʰ.u.a.i.Q	kʰ u a i Q	1
塌	tā	Beijing	tʰ.a.⁵⁵	tʰ a ⁵⁵	1
塌	tā	Jinan	tʰ.a.²¹³	tʰ a ²¹³	1
塌	tā	Xi_an	tʰ.a.²¹	tʰ a ²¹	1
塌	tā	Taiyuan	tʰ.a.ʔ.²	tʰ a ʔ ²	1
塌	tā	Hankou	tʰ.a.²¹³	tʰ a ²¹³	1
塌	tā	Chengdu	tʰ.a.³¹	tʰ a ³¹	1
塌	tā	Yangzhou	tʰ.a.ʔ.⁴	tʰ a ʔ ⁴	1
塌	tā	Suzhou	tʰ.a.ʔ.⁴	tʰ a ʔ ⁴	1
塌	tā	Wenzhou	tʰ.a.³²³	tʰ a ³²³	1
塌	tā	Changsha	tʰ.a.²⁴	tʰ a ²⁴	1
塌	tā	Shuangfeng	tʰ.a.²³	tʰ a ²³	1
塌	tā	Nanchang	tʰ.a.t.⁵	tʰ a t ⁵	1
塌	tā	Meixian	tʰ.a.p.¹	tʰ a p ¹	1
塌	tā	Guangzhou	tʰ.a:.p.³	tʰ a: p ³	1
塌	tā	Xiamen	tʰ.a.p.³²	tʰ a p ³²	1
塌	tā	Xiamen	n.aːʔ.³²	n aːʔ ³²	1
塌	tā	Chaozhou	tʰ.a.p.⁴	tʰ a p ⁴	1
塌	tā	Fuzhou	tʰ.a.ʔ.²³	tʰ a ʔ ²³	1
塌	tā	Shanghai	tʰ.a.ʔ.⁵	tʰ a ʔ ⁵	1
塌	tā	Zhongyuan_Yinyun	tʰ.a.R¹	tʰ a R¹	1
塑	sù	Beijing	s.u.⁵¹	s u ⁵¹	1
塑	sù	Jinan	s.u.²¹	s u ²¹	1
塑	sù	Xi_an	s.o.u.⁵⁵	s o u ⁵⁵	1
塑	sù	Taiyuan	s.u.⁴⁵	s u ⁴⁵	1
塑	sù	Hankou	s.o.u.³⁵	s o u ³⁵	1
塑	sù	Chengdu	s.u.¹³	s u ¹³	1
塑	sù	Yangzhou	s.u.⁵⁵	s u ⁵⁵	1
塑	sù	Suzhou	s.ə.u.⁴¹²	s ə u ⁴¹²	1
塑	sù	Wenzhou	s.ɵ.y.⁴²	s ɵ y ⁴²	1
塑	sù	Changsha	s.o.¹³	s o ¹³	1
塑	sù	Shuangfeng	s.ə.u.³⁵	s ə u ³⁵	1
塑	sù	Nanchang	s.ɔ.k.⁵	s ɔ k ⁵	1
塑	sù	Meixian	s.ɔ.k.¹	s ɔ k ¹	1
塑	sù	Guangzhou	ʃ.o.u.³³	ʃ o u ³³	1
塑	sù	Xiamen	s.ɔ.¹¹	s ɔ ¹¹	1
塑	sù	Chaozhou	s.u.a.k.²¹	s u a k ²¹	1
塑	sù	Fuzhou	s.o.u.²¹³	s o u ²¹³	1
塑	sù	Shanghai	s.o.ʔ.⁵	s o ʔ ⁵	1
塑	sù	Zhongyuan_Yinyun	s.u.Q	s u Q	1
塔	tǎ	Beijing	tʰ.a.²¹⁴	tʰ a ²¹⁴	1
塔	tǎ	Jinan	tʰ.a.²¹³	tʰ a ²¹³	1
塔	tǎ	Xi_an	tʰ.a.²¹	tʰ a ²¹	1
塔	tǎ	Taiyuan	tʰ.a.ʔ.²	tʰ a ʔ ²	1
塔	tǎ	Hankou	tʰ.a.²¹³	tʰ a ²¹³	1
塔	tǎ	Chengdu	tʰ.a.³¹	tʰ a ³¹	1
塔	tǎ	Yangzhou	tʰ.a.ʔ.⁴	tʰ a ʔ ⁴	1
塔	tǎ	Suzhou	tʰ.a.ʔ.⁴	tʰ a ʔ ⁴	1
塔	tǎ	Wenzhou	tʰ.a.³²³	tʰ a ³²³	1
塔	tǎ	Changsha	tʰ.a.²⁴	tʰ a ²⁴	1
塔	tǎ	Shuangfeng	tʰ.a.²³	tʰ a ²³	1
塔	tǎ	Nanchang	tʰ.a.t.⁵	tʰ a t ⁵	1
塔	tǎ	Meixian	tʰ.a.p.¹	tʰ a p ¹	1
塔	tǎ	Guangzhou	tʰ.a:.p.³	tʰ a: p ³	1
塔	tǎ	Xiamen	tʰ.a.p.³²	tʰ a p ³²	1
塔	tǎ	Xiamen	tʰ.a.ʔ.³²	tʰ a ʔ ³²	1
塔	tǎ	Chaozhou	tʰ.a.ʔ.²¹	tʰ a ʔ ²¹	1
塔	tǎ	Fuzhou	tʰ.a.ʔ.²³	tʰ a ʔ ²³	1
塔	tǎ	Shanghai	tʰ.a.ʔ.⁵	tʰ a ʔ ⁵	1
塔	tǎ	Zhongyuan_Yinyun	tʰ.a.R¹	tʰ a R¹	1
墓	mù	Beijing	m.u.⁵¹	m u ⁵¹	1
墓	mù	Jinan	m.u.²¹	m u ²¹	1
墓	mù	Xi_an	m.u.⁵⁵	m u ⁵⁵	1
墓	mù	Taiyuan	m.u.⁴⁵	m u ⁴⁵	1
墓	mù	Hankou	m.o.ŋ.³⁵	m o ŋ ³⁵	1
墓	mù	Chengdu	m.o.¹³	m o ¹³	1
墓	mù	Yangzhou	m.o.⁵⁵	m o ⁵⁵	1
墓	mù	Suzhou	m.o.³¹	m o ³¹	1
墓	mù	Wenzhou	m.o.²²	m o ²²	1
墓	mù	Changsha	m.o.⁵⁵	m o ⁵⁵	1
墓	mù	Shuangfeng	m.ʊ.³³	m ʊ ³³	1
墓	mù	Nanchang	m.u.²¹	m u ²¹	1
墓	mù	Meixian	m.ɔ.⁵²	m ɔ ⁵²	1
墓	mù	Guangzhou	m.o.u.²²	m o u ²²	1
墓	mù	Xiamen	m.ɔ.³³	m ɔ ³³	1
墓	mù	Xiamen	b.ɔ.ŋ.³³	b ɔ ŋ ³³	1
墓	mù	Chaozhou	m.o.³⁵	m o ³⁵	1
墓	mù	Fuzhou	m.u.ɔ.²⁴²	m u ɔ ²⁴²	1
墓	mù	Shanghai	m.o.¹³	m o ¹³	1
墓	mù	Zhongyuan_Yinyun	m.u.Q	m u Q	1
塗	tú	Beijing	tʰ.u.³⁵	tʰ u ³⁵	1
塗	tú	Jinan	tʰ.u.⁴²	tʰ u ⁴²	1
塗	tú	Xi_an	tʰ.o.u.²⁴	tʰ o u ²⁴	1
塗	tú	Taiyuan	tʰ.u.¹¹	tʰ u ¹¹	1
塗	tú	Hankou	tʰ.o.u.²¹³	tʰ o u ²¹³	1
塗	tú	Chengdu	tʰ.u.³¹	tʰ u ³¹	1
塗	tú	Yangzhou	tʰ.u.³⁴	tʰ u ³⁴	1
塗	tú	Suzhou	d.ə.u.²⁴	d ə u ²⁴	1
塗	tú	Wenzhou	d.ɵ.y.³¹	d ɵ y ³¹	1
塗	tú	Changsha	t.ɤ.u.¹³	t ɤ u ¹³	1
塗	tú	Shuangfeng	d.ə.u.²³	d ə u ²³	1
塗	tú	Nanchang	tʰ.u.²⁴	tʰ u ²⁴	1
塗	tú	Meixian	tʰ.u.¹¹	tʰ u ¹¹	1
塗	tú	Guangzhou	tʰ.o.u.²¹	tʰ o u ²¹	1
塗	tú	Xiamen	t.ɔ.²⁴	t ɔ ²⁴	1
塗	tú	Chaozhou	tʰ.u.⁵⁵	tʰ u ⁵⁵	1
塗	tú	Fuzhou	t.u.⁵²	t u ⁵²	1
塘	táng	Beijing	tʰ.a.ŋ.³⁵	tʰ a ŋ ³⁵	1
塘	táng	Jinan	tʰ.a.ŋ.⁴²	tʰ a ŋ ⁴²	1
塘	táng	Xi_an	tʰ.a.ŋ.²⁴	tʰ a ŋ ²⁴	1
塘	táng	Taiyuan	tʰ.ɒː ¹¹	tʰ ɒː ¹¹	1
塘	táng	Hankou	tʰ.a.ŋ.²¹³	tʰ a ŋ ²¹³	1
塘	táng	Chengdu	tʰ.a.ŋ.³¹	tʰ a ŋ ³¹	1
塘	táng	Yangzhou	tʰ.ɑ.ŋ.³⁴	tʰ ɑ ŋ ³⁴	1
塘	táng	Suzhou	d.ɒ.ŋ.²⁴	d ɒ ŋ ²⁴	1
塘	táng	Wenzhou	d.ɔ.³¹	d ɔ ³¹	1
塘	táng	Changsha	tʰ.a.n.¹³	tʰ a n ¹³	1
塘	táng	Shuangfeng	d.a.ŋ.²³	d a ŋ ²³	1
塘	táng	Nanchang	tʰ.ɔ.ŋ.²⁴	tʰ ɔ ŋ ²⁴	1
塘	táng	Meixian	tʰ.ɔ.ŋ.¹¹	tʰ ɔ ŋ ¹¹	1
塘	táng	Guangzhou	tʰ.ɔ.ŋ.²¹	tʰ ɔ ŋ ²¹	1
塘	táng	Xiamen	tʰ.ɔ.ŋ.²⁴	tʰ ɔ ŋ ²⁴	1
塘	táng	Xiamen	tʰ.ŋ.²⁴	tʰ ŋ ²⁴	1
塘	táng	Chaozhou	t.ɯ.ŋ.⁵⁵	t ɯ ŋ ⁵⁵	1
塘	táng	Fuzhou	t.o.u.ŋ.⁵²	t o u ŋ ⁵²	1
塞	sāi	Beijing	s.a.i.⁵⁵	s a i ⁵⁵	1
塞	sāi	Jinan	s.e.i.²¹³	s e i ²¹³	1
塞	sāi	Xi_an	s.e.i.²¹	s e i ²¹	1
塞	sāi	Taiyuan	s.ə.ʔ.²	s ə ʔ ²	1
塞	sāi	Hankou	s.ɤ.²¹³	s ɤ ²¹³	1
塞	sāi	Chengdu	s.e.³¹	s e ³¹	1
塞	sāi	Yangzhou	s.ə.ʔ.⁴	s ə ʔ ⁴	1
塞	sāi	Suzhou	s.ɤ.ʔ.⁴	s ɤ ʔ ⁴	1
塞	sāi	Wenzhou	s.E.³²³	s E ³²³	1
塞	sāi	Changsha	s.ɤ.²⁴	s ɤ ²⁴	1
塞	sāi	Shuangfeng	ɕ.i.ɛ.²³	ɕ i ɛ ²³	1
塞	sāi	Nanchang	s.ɛ.t.⁵	s ɛ t ⁵	1
塞	sāi	Meixian	s.ɛ.t.¹	s ɛ t ¹	1
塞	sāi	Guangzhou	ʃ.a.k.⁵	ʃ a k ⁵	1
塞	sāi	Xiamen	s.ɪ.k.³²	s ɪ k ³²	1
塞	sāi	Xiamen	s.u.e.ʔ.³²	s u e ʔ ³²	1
塞	sāi	Xiamen	tʰ.a.t.³²	tʰ a t ³²	1
塞	sāi	Chaozhou	s.a.k.²¹	s a k ²¹	1
塞	sāi	Fuzhou	s.a.i.ʔ.²³	s a i ʔ ²³	1
塞	sāi	Shanghai	s.ɤ.ʔ.⁵	s ɤ ʔ ⁵	1
塞	sāi	Zhongyuan_Yinyun	s.a.i.Q	s a i Q	1
塞	sāi	Beijing	s.a.i.⁵¹	s a i ⁵¹	1
塞	sāi	Jinan	s.ɛ.²¹	s ɛ ²¹	1
塞	sāi	Xi_an	s.ɛ.⁵⁵	s ɛ ⁵⁵	1
塞	sāi	Taiyuan	s.a.i.⁴⁵	s a i ⁴⁵	1
塞	sāi	Hankou	s.a.i.³⁵	s a i ³⁵	1
塞	sāi	Chengdu	ʦ.a.i.¹³	ʦ a i ¹³	1
塞	sāi	Yangzhou	s.ɛ.⁵⁵	s ɛ ⁵⁵	1
塞	sāi	Suzhou	s.E.⁴¹²	s E ⁴¹²	1
塞	sāi	Wenzhou	s.E.⁴²	s E ⁴²	1
塞	sāi	Changsha	s.a.i.⁵⁵	s a i ⁵⁵	1
塞	sāi	Shuangfeng	s.u.e.³⁵	s u e ³⁵	1
塞	sāi	Nanchang	s.a.i.⁴⁵	s a i ⁴⁵	1
塞	sāi	Meixian	s.a.i.⁵²	s a i ⁵²	1
塞	sāi	Guangzhou	ʧʰ.ɔ.i.³³	ʧʰ ɔ i ³³	1
塞	sāi	Xiamen	s.a.i.¹¹	s a i ¹¹	1
塞	sāi	Chaozhou	s.a.i.²¹³	s a i ²¹³	1
塞	sāi	Fuzhou	s.a.i.²¹³	s a i ²¹³	1
塞	sāi	Shanghai	s.ɤ.ʔ.⁵	s ɤ ʔ ⁵	1
塞	sāi	Zhongyuan_Yinyun	s.a.i.Q	s a i Q	1
填	tián	Beijing	tʰ.i.a.n.³⁵	tʰ i a n ³⁵	1
填	tián	Jinan	tʰ.i.aː ⁴²	tʰ i aː ⁴²	1
填	tián	Xi_an	tʰ.i.aː ²⁴	tʰ i aː ²⁴	1
填	tián	Taiyuan	tʰ.i.ɛ.¹¹	tʰ i ɛ ¹¹	1
填	tián	Hankou	tʰ.i.a.n.²¹³	tʰ i a n ²¹³	1
填	tián	Chengdu	tʰ.i.a.n.³¹	tʰ i a n ³¹	1
填	tián	Yangzhou	tʰ.ɪː ³⁴	tʰ ɪː ³⁴	1
填	tián	Suzhou	d.ɪ.²⁴	d ɪ ²⁴	1
填	tián	Wenzhou	d.i.³¹	d i ³¹	1
填	tián	Changsha	t.i.eː ¹³	t i eː ¹³	1
填	tián	Shuangfeng	d.ɪː ²³	d ɪː ²³	1
填	tián	Nanchang	tʰ.i.ɛ.n.²⁴	tʰ i ɛ n ²⁴	1
填	tián	Meixian	tʰ.i.ɛ.n.¹¹	tʰ i ɛ n ¹¹	1
填	tián	Guangzhou	tʰ.i.n.²¹	tʰ i n ²¹	1
填	tián	Xiamen	t.i.a.n.²⁴	t i a n ²⁴	1
填	tián	Xiamen	tʰ.i.a.n.²⁴	tʰ i a n ²⁴	1
填	tián	Chaozhou	tʰ.i.e.ŋ.⁵⁵	tʰ i e ŋ ⁵⁵	1
填	tián	Fuzhou	t.e.i.ŋ.⁵²	t e i ŋ ⁵²	1
填	tián	Shanghai	t.ɪ.¹³	t ɪ ¹³	1
填	tián	Zhongyuan_Yinyun	tʰ.i.e.n.P²	tʰ i e n P²	1
麈	zhǔ	Beijing	tʂʰ.ə.n.³⁵	tʂʰ ə n ³⁵	1
麈	zhǔ	Jinan	tʂʰ.eː ⁴²	tʂʰ eː ⁴²	1
麈	zhǔ	Xi_an	tʂʰ.eː ²⁴	tʂʰ eː ²⁴	1
麈	zhǔ	Taiyuan	ʦʰ.ə.ŋ.¹¹	ʦʰ ə ŋ ¹¹	1
麈	zhǔ	Hankou	ʦʰ.ə.n.²¹³	ʦʰ ə n ²¹³	1
麈	zhǔ	Chengdu	ʦʰ.ə.n.³¹	ʦʰ ə n ³¹	1
麈	zhǔ	Yangzhou	ʦʰ.ə.n.³⁴	ʦʰ ə n ³⁴	1
麈	zhǔ	Suzhou	z.ə.n.²⁴	z ə n ²⁴	1
麈	zhǔ	Wenzhou	ʣ.a.ŋ.³¹	ʣ a ŋ ³¹	1
麈	zhǔ	Changsha	tʂ.ə.n.¹³	tʂ ə n ¹³	1
麈	zhǔ	Shuangfeng	ʥ.i.n.²³	ʥ i n ²³	1
麈	zhǔ	Nanchang	ʦʰ.ə.n.²⁴	ʦʰ ə n ²⁴	1
麈	zhǔ	Meixian	ʦʰ.ə.n.¹¹	ʦʰ ə n ¹¹	1
麈	zhǔ	Guangzhou	ʧʰ.a.n.²¹	ʧʰ a n ²¹	1
麈	zhǔ	Xiamen	t.i.n.²⁴	t i n ²⁴	1
麈	zhǔ	Chaozhou	t.i.ŋ.⁵⁵	t i ŋ ⁵⁵	1
麈	zhǔ	Fuzhou	t.i.ŋ.⁵²	t i ŋ ⁵²	1
麈	zhǔ	Shanghai	z.ə.ŋ.¹³	z ə ŋ ¹³	1
麈	zhǔ	Zhongyuan_Yinyun	ʧʰ.i.ə.n.P²	ʧʰ i ə n P²	1
境	jìng	Beijing	ʨ.i.ŋ.⁵¹	ʨ i ŋ ⁵¹	1
境	jìng	Jinan	ʨ.i.ŋ.⁵⁵	ʨ i ŋ ⁵⁵	1
境	jìng	Xi_an	ʨ.i.ŋ.⁵⁵	ʨ i ŋ ⁵⁵	1
境	jìng	Taiyuan	ʨ.i.ŋ.⁴⁵	ʨ i ŋ ⁴⁵	1
境	jìng	Hankou	ʨ.i.n.⁴²	ʨ i n ⁴²	1
境	jìng	Chengdu	ʨ.i.n.⁵³	ʨ i n ⁵³	1
境	jìng	Yangzhou	ʨ.iː ⁵⁵	ʨ iː ⁵⁵	1
境	jìng	Suzhou	ʨ.i.n.⁴¹²	ʨ i n ⁴¹²	1
境	jìng	Wenzhou	ʨ.i.a.ŋ.⁴²	ʨ i a ŋ ⁴²	1
境	jìng	Changsha	ʨ.i.n.⁵⁵	ʨ i n ⁵⁵	1
境	jìng	Shuangfeng	ʨ.i.n.³⁵	ʨ i n ³⁵	1
境	jìng	Nanchang	ʨ.i.n.⁴⁵	ʨ i n ⁴⁵	1
境	jìng	Meixian	k.i.n.³¹	k i n ³¹	1
境	jìng	Guangzhou	k.ɪ.ŋ.³⁵	k ɪ ŋ ³⁵	1
境	jìng	Xiamen	k.ɪ.ŋ.⁵¹	k ɪ ŋ ⁵¹	1
境	jìng	Chaozhou	k.e.ŋ.⁵³	k e ŋ ⁵³	1
境	jìng	Fuzhou	k.i.ŋ.³¹	k i ŋ ³¹	1
境	jìng	Shanghai	ʨ.i.ŋ.³⁵/⁵⁵	ʨ i ŋ ³⁵/⁵⁵	1
境	jìng	Zhongyuan_Yinyun	k.i.ə.ŋ.S	k i ə ŋ S	1
增	zēng	Beijing	ʦ.ə.ŋ.⁵⁵	ʦ ə ŋ ⁵⁵	1
增	zēng	Jinan	ʦ.ə.ŋ.²¹³	ʦ ə ŋ ²¹³	1
增	zēng	Xi_an	ʦ.ə.ŋ.²¹	ʦ ə ŋ ²¹	1
增	zēng	Taiyuan	ʦ.ə.ŋ.¹¹	ʦ ə ŋ ¹¹	1
增	zēng	Hankou	ʦ.ə.n.⁵⁵	ʦ ə n ⁵⁵	1
增	zēng	Chengdu	ʦ.ə.n.⁴⁴	ʦ ə n ⁴⁴	1
增	zēng	Yangzhou	ʦ.ə.n.²¹	ʦ ə n ²¹	1
增	zēng	Suzhou	ʦ.ə.n.⁴⁴	ʦ ə n ⁴⁴	1
增	zēng	Wenzhou	ʦ.a.ŋ.⁴⁴	ʦ a ŋ ⁴⁴	1
增	zēng	Changsha	ʦ.ə.n.³³	ʦ ə n ³³	1
增	zēng	Shuangfeng	ʨ.i.ɛː ⁵⁵	ʨ i ɛː ⁵⁵	1
增	zēng	Nanchang	ʦ.ɛ.n.⁴²	ʦ ɛ n ⁴²	1
增	zēng	Meixian	ʦ.ɛ.n.⁵²	ʦ ɛ n ⁵²	1
增	zēng	Guangzhou	ʧ.a.ŋ.⁵³/⁵⁵	ʧ a ŋ ⁵³/⁵⁵	1
增	zēng	Xiamen	ʦ.ɪ.ŋ.⁵⁵	ʦ ɪ ŋ ⁵⁵	1
增	zēng	Chaozhou	ʦ.e.ŋ.³³	ʦ e ŋ ³³	1
增	zēng	Fuzhou	ʦ.e.i.ŋ.⁴⁴	ʦ e i ŋ ⁴⁴	1
增	zēng	Shanghai	ʦ.ə.ŋ.⁵³	ʦ ə ŋ ⁵³	1
增	zēng	Zhongyuan_Yinyun	ʦ.ə.ŋ.P	ʦ ə ŋ P	1
墨	mò	Beijing	m.o.⁵¹	m o ⁵¹	1
墨	mò	Jinan	m.e.i.²¹	m e i ²¹	1
墨	mò	Xi_an	m.e.i.²⁴	m e i ²⁴	1
墨	mò	Taiyuan	m.i.ə.ʔ.²	m i ə ʔ ²	1
墨	mò	Hankou	m.ɤ.²¹³	m ɤ ²¹³	1
墨	mò	Chengdu	m.e.³¹	m e ³¹	1
墨	mò	Yangzhou	m.ɔ.ʔ.⁴	m ɔ ʔ ⁴	1
墨	mò	Suzhou	m.ɤ.ʔ.²³	m ɤ ʔ ²³	1
墨	mò	Wenzhou	m.a.i.²¹²	m a i ²¹²	1
墨	mò	Changsha	m.ɤ.²⁴	m ɤ ²⁴	1
墨	mò	Shuangfeng	m.i.ɛ.³⁵	m i ɛ ³⁵	1
墨	mò	Nanchang	m.ɛ.t.⁵	m ɛ t ⁵	1
墨	mò	Meixian	m.ɛ.t.⁵	m ɛ t ⁵	1
墨	mò	Guangzhou	m.a.k.²²/²	m a k ²²/²	1
墨	mò	Xiamen	b.ɪ.k.⁵	b ɪ k ⁵	1
墨	mò	Xiamen	b.a.k.⁵	b a k ⁵	1
墨	mò	Chaozhou	b.a.k.⁴	b a k ⁴	1
墨	mò	Fuzhou	m.ø.y.ʔ.⁴	m ø y ʔ ⁴	1
墨	mò	Shanghai	m.ɤ.ʔ.¹³	m ɤ ʔ ¹³	1
墨	mò	Zhongyuan_Yinyun	m.e.i.R³	m e i R³	1
墩	dūn	Beijing	t.u.ə.n.⁵⁵	t u ə n ⁵⁵	1
墩	dūn	Jinan	t.u.eː ²¹³	t u eː ²¹³	1
墩	dūn	Xi_an	t.u.eː ²¹	t u eː ²¹	1
墩	dūn	Taiyuan	t.u.ŋ.¹¹	t u ŋ ¹¹	1
墩	dūn	Hankou	t.ə.n.⁵⁵	t ə n ⁵⁵	1
墩	dūn	Chengdu	t.ə.n.⁴⁴	t ə n ⁴⁴	1
墩	dūn	Yangzhou	t.ə.n.²¹	t ə n ²¹	1
墩	dūn	Suzhou	t.ə.n.⁴⁴	t ə n ⁴⁴	1
墩	dūn	Wenzhou	t.ø.⁴⁴	t ø ⁴⁴	1
墩	dūn	Changsha	t.ə.n.³³	t ə n ³³	1
墩	dūn	Shuangfeng	t.u.ə.n.⁵⁵	t u ə n ⁵⁵	1
墩	dūn	Nanchang	t.ə.n.⁴²	t ə n ⁴²	1
墩	dūn	Meixian	t.u.n.⁴⁴	t u n ⁴⁴	1
墩	dūn	Guangzhou	t.œ.n.⁵³/⁵⁵	t œ n ⁵³/⁵⁵	1
墩	dūn	Xiamen	t.u.n.⁵⁵	t u n ⁵⁵	1
墩	dūn	Chaozhou	t.u.ŋ.³³	t u ŋ ³³	1
墩	dūn	Fuzhou	t.u.ŋ.⁴⁴	t u ŋ ⁴⁴	1
墳	fén	Beijing	f.ə.n.³⁵	f ə n ³⁵	1
墳	fén	Jinan	f.eː ⁴²	f eː ⁴²	1
墳	fén	Xi_an	f.eː ²⁴	f eː ²⁴	1
墳	fén	Taiyuan	f.ə.ŋ.¹¹	f ə ŋ ¹¹	1
墳	fén	Hankou	f.ə.n.²¹³	f ə n ²¹³	1
